"muni","total","danio","delsex","hom","les","robo","otros","year","muniYear"
"08008",63,NA,NA,NA,NA,NA,63,1994,"08008_1994"
"08009",236,NA,NA,NA,NA,NA,236,1994,"08009_1994"
"08010",295,NA,NA,NA,NA,NA,295,1994,"08010_1994"
"08011",1049,NA,NA,NA,NA,NA,1049,1994,"08011_1994"
"08012",63,NA,NA,NA,NA,NA,63,1994,"08012_1994"
"08013",NA,NA,NA,NA,NA,NA,NA,1994,"08013_1994"
"08014",5,NA,NA,NA,NA,NA,5,1994,"08014_1994"
"08015",14,NA,NA,NA,NA,NA,14,1994,"08015_1994"
"08016",37,NA,NA,NA,NA,NA,37,1994,"08016_1994"
"08017",2757,NA,NA,NA,NA,NA,2757,1994,"08017_1994"
"08018",45,NA,NA,NA,NA,NA,45,1994,"08018_1994"
"08019",21099,NA,NA,NA,NA,NA,21099,1994,"08019_1994"
"08020",61,NA,NA,NA,NA,NA,61,1994,"08020_1994"
"08021",2006,NA,NA,NA,NA,NA,2006,1994,"08021_1994"
"08022",42,NA,NA,NA,NA,NA,42,1994,"08022_1994"
"08023",54,NA,NA,NA,NA,NA,54,1994,"08023_1994"
"08024",58,NA,NA,NA,NA,NA,58,1994,"08024_1994"
"08025",176,NA,NA,NA,NA,NA,176,1994,"08025_1994"
"08026",26,NA,NA,NA,NA,NA,26,1994,"08026_1994"
"08027",538,NA,NA,NA,NA,NA,538,1994,"08027_1994"
"08028",130,NA,NA,NA,NA,NA,130,1994,"08028_1994"
"08029",313,NA,NA,NA,NA,NA,313,1994,"08029_1994"
"08030",123,NA,NA,NA,NA,NA,123,1994,"08030_1994"
"08031",516,NA,NA,NA,NA,NA,516,1994,"08031_1994"
"08032",2079,NA,NA,NA,NA,NA,2079,1994,"08032_1994"
"08033",5,NA,NA,NA,NA,NA,5,1994,"08033_1994"
"08034",114,NA,NA,NA,NA,NA,114,1994,"08034_1994"
"08035",66,NA,NA,NA,NA,NA,66,1994,"08035_1994"
"08036",734,NA,NA,NA,NA,NA,734,1994,"08036_1994"
"08037",26637,NA,NA,NA,NA,NA,26637,1994,"08037_1994"
"08038",42,NA,NA,NA,NA,NA,42,1994,"08038_1994"
"08039",14,NA,NA,NA,NA,NA,14,1994,"08039_1994"
"08040",410,NA,NA,NA,NA,NA,410,1994,"08040_1994"
"08041",NA,NA,NA,NA,NA,NA,NA,1994,"08041_1994"
"08042",27,NA,NA,NA,NA,NA,27,1994,"08042_1994"
"08043",56,NA,NA,NA,NA,NA,56,1994,"08043_1994"
"08044",54,NA,NA,NA,NA,NA,54,1994,"08044_1994"
"08045",517,NA,NA,NA,NA,NA,517,1994,"08045_1994"
"08046",58,NA,NA,NA,NA,NA,58,1994,"08046_1994"
"08047",53,NA,NA,NA,NA,NA,53,1994,"08047_1994"
"08048",214,NA,NA,NA,NA,NA,214,1994,"08048_1994"
"08049",25,NA,NA,NA,NA,NA,25,1994,"08049_1994"
"08050",623,NA,NA,NA,NA,NA,623,1994,"08050_1994"
"08051",90,NA,NA,NA,NA,NA,90,1994,"08051_1994"
"08052",717,NA,NA,NA,NA,NA,717,1994,"08052_1994"
"08053",66,NA,NA,NA,NA,NA,66,1994,"08053_1994"
"08054",19,NA,NA,NA,NA,NA,19,1994,"08054_1994"
"08055",113,NA,NA,NA,NA,NA,113,1994,"08055_1994"
"08056",3,NA,NA,NA,NA,NA,3,1994,"08056_1994"
"08057",39,NA,NA,NA,NA,NA,39,1994,"08057_1994"
"08058",3,NA,NA,NA,NA,NA,3,1994,"08058_1994"
"08059",43,NA,NA,NA,NA,NA,43,1994,"08059_1994"
"08060",98,NA,NA,NA,NA,NA,98,1994,"08060_1994"
"08061",54,NA,NA,NA,NA,NA,54,1994,"08061_1994"
"08062",394,NA,NA,NA,NA,NA,394,1994,"08062_1994"
"08063",56,NA,NA,NA,NA,NA,56,1994,"08063_1994"
"08064",1,NA,NA,NA,NA,NA,1,1994,"08064_1994"
"08065",117,NA,NA,NA,NA,NA,117,1994,"08065_1994"
"08066",62,NA,NA,NA,NA,NA,62,1994,"08066_1994"
"08067",47,NA,NA,NA,NA,NA,47,1994,"08067_1994"
"09002",8849,1162,15,65,1122,5552,933,1994,"09002_1994"
"09003",11734,1604,793,124,1818,6244,1151,1994,"09003_1994"
"09004",1401,265,1,74,249,638,174,1994,"09004_1994"
"09005",18983,2356,360,561,3926,9225,2555,1994,"09005_1994"
"09006",6254,1063,2,66,792,3806,525,1994,"09006_1994"
"09007",17394,2323,2,506,2649,9722,2192,1994,"09007_1994"
"09008",1346,217,0,25,313,666,125,1994,"09008_1994"
"09009",375,56,0,30,71,166,52,1994,"09009_1994"
"09010",7380,1215,4,174,1341,3697,949,1994,"09010_1994"
"09011",1683,233,0,51,324,814,261,1994,"09011_1994"
"09012",7011,1301,4,153,1065,3496,992,1994,"09012_1994"
"09013",2656,497,3,79,497,1090,490,1994,"09013_1994"
"09014",14554,2098,1,146,2089,9227,993,1994,"09014_1994"
"09015",26495,3054,10,397,4136,15643,3255,1994,"09015_1994"
"09016",13965,1553,386,446,2218,8228,1134,1994,"09016_1994"
"09017",12504,1718,687,157,2739,5777,1426,1994,"09017_1994"
"10001",NA,NA,NA,NA,NA,NA,NA,1994,"10001_1994"
"10002",NA,NA,NA,NA,NA,NA,NA,1994,"10002_1994"
"10003",NA,NA,NA,NA,NA,NA,NA,1994,"10003_1994"
"10004",NA,NA,NA,NA,NA,NA,NA,1994,"10004_1994"
"10005",1883,157,72,143,104,410,997,1994,"10005_1994"
"10006",NA,NA,NA,NA,NA,NA,NA,1994,"10006_1994"
"10007",NA,NA,NA,NA,NA,NA,NA,1994,"10007_1994"
"10008",NA,NA,NA,NA,NA,NA,NA,1994,"10008_1994"
"10009",NA,NA,NA,NA,NA,NA,NA,1994,"10009_1994"
"10010",NA,NA,NA,NA,NA,NA,NA,1994,"10010_1994"
"10011",NA,NA,NA,NA,NA,NA,NA,1994,"10011_1994"
"10012",NA,NA,NA,NA,NA,NA,NA,1994,"10012_1994"
"10013",NA,NA,NA,NA,NA,NA,NA,1994,"10013_1994"
"10014",NA,NA,NA,NA,NA,NA,NA,1994,"10014_1994"
"10015",NA,NA,NA,NA,NA,NA,NA,1994,"10015_1994"
"10016",NA,NA,NA,NA,NA,NA,NA,1994,"10016_1994"
"10017",NA,NA,NA,NA,NA,NA,NA,1994,"10017_1994"
"10018",NA,NA,NA,NA,NA,NA,NA,1994,"10018_1994"
"10019",NA,NA,NA,NA,NA,NA,NA,1994,"10019_1994"
"10020",NA,NA,NA,NA,NA,NA,NA,1994,"10020_1994"
"10021",NA,NA,NA,NA,NA,NA,NA,1994,"10021_1994"
"10022",NA,NA,NA,NA,NA,NA,NA,1994,"10022_1994"
"10023",NA,NA,NA,NA,NA,NA,NA,1994,"10023_1994"
"10024",NA,NA,NA,NA,NA,NA,NA,1994,"10024_1994"
"10025",NA,NA,NA,NA,NA,NA,NA,1994,"10025_1994"
"10026",NA,NA,NA,NA,NA,NA,NA,1994,"10026_1994"
"10027",NA,NA,NA,NA,NA,NA,NA,1994,"10027_1994"
"10028",NA,NA,NA,NA,NA,NA,NA,1994,"10028_1994"
"10029",NA,NA,NA,NA,NA,NA,NA,1994,"10029_1994"
"10030",NA,NA,NA,NA,NA,NA,NA,1994,"10030_1994"
"10031",NA,NA,NA,NA,NA,NA,NA,1994,"10031_1994"
"10032",NA,NA,NA,NA,NA,NA,NA,1994,"10032_1994"
"10033",NA,NA,NA,NA,NA,NA,NA,1994,"10033_1994"
"10034",NA,NA,NA,NA,NA,NA,NA,1994,"10034_1994"
"10035",NA,NA,NA,NA,NA,NA,NA,1994,"10035_1994"
"10036",NA,NA,NA,NA,NA,NA,NA,1994,"10036_1994"
"10037",NA,NA,NA,NA,NA,NA,NA,1994,"10037_1994"
"10038",NA,NA,NA,NA,NA,NA,NA,1994,"10038_1994"
"10039",NA,NA,NA,NA,NA,NA,NA,1994,"10039_1994"
"11001",445,NA,NA,NA,NA,NA,445,1994,"11001_1994"
"11002",769,NA,NA,NA,NA,NA,769,1994,"11002_1994"
"11003",1349,NA,NA,NA,NA,NA,1349,1994,"11003_1994"
"11004",335,NA,NA,NA,NA,NA,335,1994,"11004_1994"
"11005",466,NA,NA,NA,NA,NA,466,1994,"11005_1994"
"11006",33,NA,NA,NA,NA,NA,33,1994,"11006_1994"
"11007",7387,NA,NA,NA,NA,NA,7387,1994,"11007_1994"
"11008",144,NA,NA,NA,NA,NA,144,1994,"11008_1994"
"11009",325,NA,NA,NA,NA,NA,325,1994,"11009_1994"
"11010",51,NA,NA,NA,NA,NA,51,1994,"11010_1994"
"11011",779,NA,NA,NA,NA,NA,779,1994,"11011_1994"
"11012",186,NA,NA,NA,NA,NA,186,1994,"11012_1994"
"11013",126,NA,NA,NA,NA,NA,126,1994,"11013_1994"
"11014",793,NA,NA,NA,NA,NA,793,1994,"11014_1994"
"11015",1439,NA,NA,NA,NA,NA,1439,1994,"11015_1994"
"11016",84,NA,NA,NA,NA,NA,84,1994,"11016_1994"
"11017",7422,NA,NA,NA,NA,NA,7422,1994,"11017_1994"
"11018",143,NA,NA,NA,NA,NA,143,1994,"11018_1994"
"11019",177,NA,NA,NA,NA,NA,177,1994,"11019_1994"
"11020",12235,NA,NA,NA,NA,NA,12235,1994,"11020_1994"
"11021",352,NA,NA,NA,NA,NA,352,1994,"11021_1994"
"11022",66,NA,NA,NA,NA,NA,66,1994,"11022_1994"
"11023",891,NA,NA,NA,NA,NA,891,1994,"11023_1994"
"11024",63,NA,NA,NA,NA,NA,63,1994,"11024_1994"
"11025",102,NA,NA,NA,NA,NA,102,1994,"11025_1994"
"11026",240,NA,NA,NA,NA,NA,240,1994,"11026_1994"
"11027",2736,NA,NA,NA,NA,NA,2736,1994,"11027_1994"
"11028",931,NA,NA,NA,NA,NA,931,1994,"11028_1994"
"11029",157,NA,NA,NA,NA,NA,157,1994,"11029_1994"
"11030",371,NA,NA,NA,NA,NA,371,1994,"11030_1994"
"11031",831,NA,NA,NA,NA,NA,831,1994,"11031_1994"
"11032",481,NA,NA,NA,NA,NA,481,1994,"11032_1994"
"11033",817,NA,NA,NA,NA,NA,817,1994,"11033_1994"
"11034",38,NA,NA,NA,NA,NA,38,1994,"11034_1994"
"11035",341,NA,NA,NA,NA,NA,341,1994,"11035_1994"
"11036",57,NA,NA,NA,NA,NA,57,1994,"11036_1994"
"11037",1495,NA,NA,NA,NA,NA,1495,1994,"11037_1994"
"11038",82,NA,NA,NA,NA,NA,82,1994,"11038_1994"
"11039",210,NA,NA,NA,NA,NA,210,1994,"11039_1994"
"11040",127,NA,NA,NA,NA,NA,127,1994,"11040_1994"
"11041",366,NA,NA,NA,NA,NA,366,1994,"11041_1994"
"11042",1075,NA,NA,NA,NA,NA,1075,1994,"11042_1994"
"11043",55,NA,NA,NA,NA,NA,55,1994,"11043_1994"
"11044",332,NA,NA,NA,NA,NA,332,1994,"11044_1994"
"11045",61,NA,NA,NA,NA,NA,61,1994,"11045_1994"
"11046",338,NA,NA,NA,NA,NA,338,1994,"11046_1994"
"12001",NA,NA,NA,NA,NA,NA,NA,1994,"12001_1994"
"12002",NA,NA,NA,NA,NA,NA,NA,1994,"12002_1994"
"12003",NA,NA,NA,NA,NA,NA,NA,1994,"12003_1994"
"12004",NA,NA,NA,NA,NA,NA,NA,1994,"12004_1994"
"12005",NA,NA,NA,NA,NA,NA,NA,1994,"12005_1994"
"12006",NA,NA,NA,NA,NA,NA,NA,1994,"12006_1994"
"12007",NA,NA,NA,NA,NA,NA,NA,1994,"12007_1994"
"12008",NA,NA,NA,NA,NA,NA,NA,1994,"12008_1994"
"12009",NA,NA,NA,NA,NA,NA,NA,1994,"12009_1994"
"12010",NA,NA,NA,NA,NA,NA,NA,1994,"12010_1994"
"12011",NA,NA,NA,NA,NA,NA,NA,1994,"12011_1994"
"12012",NA,NA,NA,NA,NA,NA,NA,1994,"12012_1994"
"12013",NA,NA,NA,NA,NA,NA,NA,1994,"12013_1994"
"12014",NA,NA,NA,NA,NA,NA,NA,1994,"12014_1994"
"12015",NA,NA,NA,NA,NA,NA,NA,1994,"12015_1994"
"12016",NA,NA,NA,NA,NA,NA,NA,1994,"12016_1994"
"12017",NA,NA,NA,NA,NA,NA,NA,1994,"12017_1994"
"12018",NA,NA,NA,NA,NA,NA,NA,1994,"12018_1994"
"12019",NA,NA,NA,NA,NA,NA,NA,1994,"12019_1994"
"12020",NA,NA,NA,NA,NA,NA,NA,1994,"12020_1994"
"12021",NA,NA,NA,NA,NA,NA,NA,1994,"12021_1994"
"12022",NA,NA,NA,NA,NA,NA,NA,1994,"12022_1994"
"12023",NA,NA,NA,NA,NA,NA,NA,1994,"12023_1994"
"12024",NA,NA,NA,NA,NA,NA,NA,1994,"12024_1994"
"12025",NA,NA,NA,NA,NA,NA,NA,1994,"12025_1994"
"12026",NA,NA,NA,NA,NA,NA,NA,1994,"12026_1994"
"12027",NA,NA,NA,NA,NA,NA,NA,1994,"12027_1994"
"12028",NA,NA,NA,NA,NA,NA,NA,1994,"12028_1994"
