"muniYear","IM"
"07092_2010",0.635
"07015_2005",0.098
"07074_2010",-0.728
"07081_2010",1.083
"07093_2010",1.183
"07020_2005",1.091
"07009_2015",-0.27
"07009_2010",-0.148
"07020_2000",0.928
"07026_2015",1.958
"07051_1995",0.192
"07079_2015",0.22
"07009_1995",-0.561
"07046_2015",0.28
"07051_2000",0.257
"07015_2000",-0.033
"07087_2015",0.581
"07009_2005",-0.292
"07092_2000",0.669
"07080_2010",1.075
"07009_2000",-0.418
"07051_2005",0.233
"07064_2000",1.852
"07109_2015",1.347
"07093_2005",1.38
"07046_2010",0.251
"07102_2010",0.337
"07094_2010",0.936
"07092_2005",0.815
"07020_1995",0.464
"07041_2005",0.645
"07111_2010",1.654
"07009_1990",-0.681
"07026_2010",1.801
"07080_2005",1.298
"07046_2005",0.266
"07015_1995",0.025
"07046_1995",-0.155
"07080_2015",0.992
"07015_1990",-0.091
"07087_2010",0.622
"07037_2015",0.513
"07013_2015",0.658
"07092_1995",0.222
"07046_2000",0.147
"07074_2005",-0.776
"07051_1990",0.384
"07064_1990",1.624
"07112_2015",2.6
"07074_2000",-0.675
"07046_1990",-0.154
"07030_2015",0.789
"07026_1995",2.41
"07092_1990",0.423
"07100_2015",1.557
"07102_2005",0.427
"07109_2010",1.225
"07012_2005",0.177
"07102_2000",0.39
"07037_2010",0.729
"07020_1990",0.512
"07093_2000",1.372
"07079_2010",0.128
"07087_2005",0.461
"07004_2015",1.412
"07080_2000",1.27
"07081_2005",1.353
"07102_1995",0.752
"07094_2005",1.105
"07102_1990",0.576
"07074_1995",-0.738
"07041_2000",0.719
"07072_2015",0.849
"07032_2015",0.314
"07026_2005",1.79
"07103_2015",0.616
"07100_2010",1.753
"07081_2000",1.324
"07030_2010",0.98
"07037_2000",0.564
"07109_2005",0.922
"07002_2015",0.276
"07068_2015",0.123
"07072_2010",0.929
"07111_2005",1.807
"07074_1990",-0.64
"07080_1995",1.062
"07006_2015",0.508
"07026_1990",1.879
"07013_2010",0.539
"07037_2005",0.584
"07037_1995",0.633
"07087_2000",0.288
"07032_2010",0.539
"07041_1995",1.266
"07004_2010",1.108
"07068_2010",-0.029
"07111_2000",1.835
"07080_1990",1.347
"07068_2005",0.257
"07006_2010",0.856
"07079_2005",0.287
"07068_2000",0.41
"07081_1995",1.693
"07054_2015",0.822
"07112_2010",2.028
"07071_2015",0.73
"07002_2010",0.365
"07100_2005",1.824
"07008_2005",0.876
"07012_2000",0.109
"07087_1995",0.427
"07003_2015",0.739
"07037_1990",0.69
"07075_2015",1.394
"07030_2005",1.051
"07008_2015",0.72
"07103_2010",0.747
"07032_2000",0.368
"07081_1990",1.218
"07071_2010",0.923
"07072_2005",1.185
"07093_1995",1.307
"07003_2010",0.869
"07032_2005",0.602
"07026_2000",1.901
"07068_1990",0.34
"07093_1990",1.453
"07044_2015",0.483
"07112_1995",3.159
"07041_1990",0.835
"07094_2000",0.931
"07076_2015",1.872
"07100_2000",1.673
"07071_2000",0.735
"07008_2010",0.667
"07054_2010",0.751
"07013_2005",0.478
"07079_2000",0.354
"07071_2005",0.772
"07030_1995",0.79
"07012_1995",0.376
"07032_1995",0.244
"07006_2000",0.743
"07109_2000",0.72
"07002_2005",0.364
"07068_1995",0.228
"07087_1990",0.292
"07003_1995",0.468
"07071_1995",0.658
"07075_2010",1
"07006_2005",0.731
"07076_2010",1.344
"07003_2000",0.568
"07030_2000",0.952
"07075_2005",1.081
"07112_2005",1.975
"07032_1990",0.312
"07002_2000",0.282
"07030_1990",0.917
"07004_2005",0.992
"07111_1995",1.7
"07044_2010",0.623
"07103_2005",0.711
"07072_2000",1.255
"07109_1995",0.786
"07071_1990",0.803
"07003_2005",0.68
"07008_1995",0.33
"07054_2000",0.716
"07086_2015",0.026
"07054_2005",0.634
"07049_2015",1.206
"07003_1990",0.764
"07076_2005",1.52
"07038_2015",1.024
"07002_1995",-0.06
"07054_1995",0.502
"07006_1995",0.661
"07103_2000",0.61
"07039_2015",1.249
"07079_1995",0.182
"07103_1990",0.732
"07103_1995",0.283
"07013_2000",0.577
"07100_1995",2.106
"07014_2015",1.261
"07006_1990",0.802
"07039_2010",1.313
"07094_1995",0.67
"07111_1990",1.651
"07079_1990",0.276
"07100_1990",1.671
"07012_1990",0.265
"07109_1990",0.86
"07008_1990",0.526
"07066_2015",2.479
"07004_2000",1.065
"07008_2000",0.559
"07021_2015",0.403
"07044_2005",0.501
"07038_2010",1.518
"07054_1990",0.74
"07005_2010",1.558
"07048_2015",0.012
"07112_1990",2.488
"07076_2000",1.415
"07075_2000",0.949
"07048_2010",0.195
"07002_1990",-0.036
"07021_2010",0.298
"07086_2010",-0.157
"07048_1990",0.463
"07072_1995",1.165
"07112_2000",2.143
"07047_2015",0.776
"07066_2010",2.13
"07048_1995",0.441
"07049_2010",1.37
"07021_2005",0.451
"07114_2015",0.926
"07048_2005",0.28
"07011_2015",0.644
"07039_2005",1.662
"07039_2000",1.796
"07048_2000",0.405
"07005_2005",1.754
"07075_1995",0.873
"07005_2015",1.398
"07021_2000",0.448
"07011_2010",0.662
"07076_1995",2.191
"07066_2005",2.262
"07038_2005",1.578
"07004_1995",2.008
"07005_2000",1.758
"07047_2010",0.752
"07038_2000",1.411
"07014_2010",1.048
"07083_2015",0.862
"07044_2000",0.597
"07038_1995",2.136
"07086_2005",-0.01
"07011_2000",0.798
"07094_1990",0.785
"07062_2015",0.72
"07001_2015",0.237
"07039_1995",1.998
"07038_1990",1.608
"07011_2005",0.77
"07072_1990",1.34
"07076_1990",1.652
"07013_1995",1.094
"07049_2005",1.664
"07114_2010",0.876
"07016_2010",0.362
"07083_2010",0.759
"07011_1990",1.115
"07062_2010",0.951
"07016_2015",0.578
"07021_1995",0.16
"07004_1990",1.555
"07062_2000",1.234
"07001_2010",0.381
"07011_1995",0.771
"07022_2015",2.853
"07075_1990",0.844
"07049_2000",1.5
"07044_1995",0.312
"07062_2005",1.136
"07066_2000",1.746
"07062_1990",1.172
"07021_1990",0.433
"07013_1990",0.688
"07039_1990",1.578
"07086_2000",0.021
"07083_2005",1.02
"07016_2005",0.502
"07016_2000",0.437
"07016_1995",0.051
"07105_2015",0.416
"07104_2015",0.535
"07049_1990",2.033
"07114_2005",1.129
"07005_1995",1.236
"07083_2000",1.094
"07014_1995",1.355
"07047_2005",0.954
"07014_2000",0.891
"07049_1995",1.968
"07014_2005",1.074
"07005_1990",1.744
"07001_2005",0.491
"07114_2000",1.745
"07035_2015",0.579
"07016_1990",0.359
"07001_2000",0.491
"07070_2015",0.484
"07105_2010",0.22
"07066_1995",1.846
"07086_1995",-0.12
"07022_2010",2.738
"07104_2010",0.573
"07014_1990",1.07
"07105_2000",0.204
"07082_2015",3.947
"07083_1995",0.674
"07062_1995",0.696
"07105_1990",0.161
"07105_2005",0.311
"07022_2005",2.354
"07044_1990",0.519
"07070_2010",1.065
"07066_1990",1.834
"07047_2000",0.936
"07115_2015",1.689
"07091_2015",-0.018
"07105_1995",0.209
"07070_2005",1.185
"07104_2005",0.641
"07035_2010",0.447
"07001_1995",0.403
"07060_2015",1.846
"07086_1990",-0.21
"07082_2010",3.122
"07022_2000",2.768
"07024_2015",1.475
"07091_2010",-0.02
"07067_2015",1.302
"07104_2000",0.821
"07056_2015",2.121
"07060_2010",1.701
"07001_1990",0.821
"07070_2000",0.979
"07115_2010",1.527
"07116_2015",1.182
"07047_1995",0.693
"07083_1990",0.853
"07042_2015",0.49
"07056_2010",1.906
"07115_2000",1.615
"07035_2000",0.641
"07115_2005",1.528
"07035_2005",0.516
"07104_1995",0.522
"07067_2010",1.217
"07070_1990",1.206
"07024_2010",1.511
"07043_2015",0.596
"07085_2015",0.292
"07070_1995",1.023
"07060_2005",1.619
"07091_2000",0.235
"07082_2005",3.355
"07042_2010",0.703
"07043_2010",0.41
"07091_2005",0.28
"07007_2015",2.191
"07022_1995",2.783
"07116_2010",1.296
"07035_1995",0.571
"07104_1990",0.839
"07067_2005",1.373
"07085_2010",0.381
"07047_1990",0.897
"07043_2005",0.638
"07073_2015",0.509
"07035_1990",0.669
"07022_1990",2.144
"07060_2000",1.858
"07018_2015",0.746
"07043_2000",0.571
"07024_2005",1.696
"07056_2005",2.048
"07073_2010",0.53
"07091_1995",0.172
"07042_2000",0.933
"07085_2005",0.554
"07042_2005",0.873
"07007_2010",2.057
"07116_2000",1.986
"07067_2000",1.754
"07116_2005",1.611
"07007_2005",2.012
"07091_1990",0.257
"07018_2010",0.673
"07043_1995",0.21
"07084_2015",0.863
"07084_2010",0.417
"07082_2000",2.659
"07073_2005",0.722
"07084_2005",0.915
"07042_1995",0.74
"07053_2010",0.795
"07084_2000",0.861
"07053_2015",0.348
"07085_2000",0.554
"07117_2015",1.01
"07018_2005",0.921
"07025_2015",0.343
"07010_2010",1.097
"07056_2000",1.902
"07024_2000",2.09
"07024_1995",2.52
"07053_1995",0.843
"07010_2015",1.08
"07053_1990",0.946
"07033_2015",1.11
"07043_1990",0.635
"07060_1995",1.805
"07025_2010",0.925
"07042_1990",0.944
"07098_2015",1.435
"07036_2010",0.756
"07018_2000",1.021
"07110_2015",1.31
"07024_1990",1.998
"07053_2000",0.59
"07025_2005",0.824
"07067_1990",1.595
"07085_1995",0.282
"07067_1995",1.466
"07036_2015",0.482
"07033_2010",1.171
"07025_2000",1.19
"07084_1995",0.558
"07117_2010",1.034
"07073_2000",1.086
"07053_2005",0.697
"07007_1995",1.601
"07110_2010",1.22
"07036_2005",0.924
"07113_2015",1.173
"07010_2000",1.356
"07082_1990",2.323
"07010_2005",1.288
"07007_2000",1.695
"07117_2005",1.126
"07056_1995",2.16
"07033_2005",1.598
"07018_1995",0.737
"07084_1990",0.717
"07025_1995",0.977
"07060_1990",1.737
"07098_2010",1.205
"07085_1990",0.451
"07073_1995",0.648
"07010_1995",1.586
"07010_1990",1.467
"07036_2000",0.953
"07082_1995",1.985
"07110_2005",1.257
"07028_2015",1.005
"07098_2005",1.251
"07056_1990",2.35
"07018_1990",0.791
"07055_2015",0.002
"07007_1990",1.654
"07110_2000",1.41
"07036_1995",1.035
"07025_1990",1.462
"07098_2000",1.285
"07045_2010",1.049
"07073_1990",1.037
"07028_2010",0.733
"07045_2015",0.845
"07036_1990",1.098
"07050_2000",0.454
"07050_2005",0.497
"07028_2000",0.744
"07033_2000",2.002
"07118_2015",1.336
"07050_1995",0.061
"07050_1990",0.399
"07029_2005",0.061
"07117_2000",0.962
"07113_2010",1.379
"07055_2010",0.08
"07029_2010",0.04
"07029_2015",-0.022
"07050_2010",0.372
"07028_2005",0.79
"07050_2015",0.323
"07045_2005",1.227
"07113_2005",2.329
"07055_2005",0.13
"07055_2000",0.029
"07028_1995",0.269
"07110_1995",0.735
"07045_2000",1.347
"07098_1995",0.62
"07118_2010",1.372
"07045_1995",0.833
"07028_1990",0.71
"07055_1995",-0.177
"07029_2000",-0.005
"07058_2010",1.028
"07058_2015",1.259
"07045_1990",1.274
"07110_1990",1.109
"07098_1990",1.227
"07090_2010",0.751
"07033_1995",1.69
"07055_1990",-0.023
"07058_2005",1.296
"07090_2005",0.748
"07029_1995",-0.214
"07033_1990",2.096
"07090_2015",0.444
"07063_2010",-0.128
"07119_2015",1.566
"07063_2015",0.019
"07029_1990",0.095
"07090_2000",1.013
"07113_2000",2.577
"07063_2005",0.062
"07118_2000",1.278
"07090_1990",1.22
"07058_1995",0.071
"07090_1995",0.724
"07119_2010",1.278
"07118_2005",1.498
"07058_2000",NA
"07063_2000",0.026
"07063_1995",-0.392
"07058_1990",0.506
"07119_2005",2.219
"07063_1990",-0.059
"07088_2015",0.636
"07088_2010",0.947
"07119_2000",2.167
"07088_2005",1.054
"07088_2000",1.738
"07088_1990",1.658
"07088_1995",1.225
"08037_2015",-1.522
"08037_2010",-1.604
"08037_2005",-1.788
"08037_2000",-1.78
"08037_1995",-1.81
"08019_2015",-1.909
"08019_2010",-2.023
"08037_1990",-2.041
"08019_2005",-2.126
"08019_2000",-2.177
"08019_1995",-1.963
"08019_1990",-2.181
"08017_2015",-1.472
"08017_2010",-1.694
"08021_2015",-1.587
"08021_2010",-1.703
"08017_2005",-1.758
"08021_2005",-1.829
"08017_2000",-1.802
"08017_1995",-1.568
"08021_2000",-1.837
"08017_1990",-1.733
"08021_1995",-1.679
"08032_2015",-1.587
"08032_2010",-1.689
"08021_1990",-1.792
"08032_2005",-1.823
"08032_2000",-1.816
"08032_1995",-1.639
"08032_1990",-1.797
"08050_2015",-1.57
"08050_2010",-1.66
"08029_2015",2.217
"08050_2005",-1.767
"08050_2000",-1.748
"08050_1995",-1.492
"08029_2010",2.564
"08029_2005",1.927
"08011_2015",-1.402
"08027_2010",2.383
"08050_1990",-1.75
"08011_2010",-1.55
"08029_2000",1.629
"08011_2005",-1.636
"08011_1995",-1.517
"08027_2005",1.923
"08011_2000",-1.613
"08011_1990",-1.638
"08027_2015",2.36
"08045_2015",-1.24
"08045_2010",-1.389
