"muniYear","muni","year","tomas_dom_agua","tomas_elec","sist_dren"
"10001_1994","10001",1994,6722,8745,42
"10002_1994","10002",1994,405,NA,17
"10003_1994","10003",1994,564,1073,7
"10004_1994","10004",1994,5595,11420,32
"10005_1994","10005",1994,108827,110133,119
"10006_1994","10006",1994,1658,NA,15
"10007_1994","10007",1994,50085,56196,153
"10008_1994","10008",1994,6678,8489,12
"10009_1994","10009",1994,1256,3187,27
"10010_1994","10010",1994,846,NA,14
"10011_1994","10011",1994,1330,NA,31
"10012_1994","10012",1994,11719,20981,54
"10013_1994","10013",1994,3255,7096,16
"10014_1994","10014",1994,1275,978,83
"10015_1994","10015",1994,2481,4094,22
"10016_1994","10016",1994,3462,4536,24
"10017_1994","10017",1994,2419,NA,24
"10018_1994","10018",1994,3055,1793,33
"10019_1994","10019",1994,264,NA,7
"10020_1994","10020",1994,2724,4420,16
"10021_1994","10021",1994,1591,1358,10
"10022_1994","10022",1994,4630,5381,13
"10023_1994","10023",1994,4624,6592,38
"10024_1994","10024",1994,2299,3933,21
"10025_1994","10025",1994,594,NA,14
"10026_1994","10026",1994,2648,NA,42
"10027_1994","10027",1994,683,NA,13
"10028_1994","10028",1994,2290,3150,19
"10029_1994","10029",1994,468,NA,4
"10030_1994","10030",1994,318,NA,6
"10031_1994","10031",1994,1336,NA,4
"10032_1994","10032",1994,7025,9668,68
"10033_1994","10033",1994,2422,1724,10
"10034_1994","10034",1994,3453,NA,30
"10035_1994","10035",1994,2654,3657,23
"10036_1994","10036",1994,4512,6173,19
"10037_1994","10037",1994,634,NA,13
"10038_1994","10038",1994,4525,4614,9
"10039_1994","10039",1994,4663,6593,55
"11001_1994","11001",1994,4406,15589,NA
"11002_1994","11002",1994,13251,24608,NA
"11003_1994","11003",1994,13409,24185,NA
"11004_1994","11004",1994,5189,10562,NA
"11005_1994","11005",1994,3711,13467,NA
"11006_1994","11006",1994,NA,1131,NA
"11007_1994","11007",1994,50952,67724,NA
"11008_1994","11008",1994,3494,8296,NA
"11009_1994","11009",1994,7028,12338,NA
"11010_1994","11010",1994,NA,2056,NA
"11011_1994","11011",1994,11598,16221,NA
"11012_1994","11012",1994,3154,5072,NA
"11013_1994","11013",1994,NA,3700,NA
"11014_1994","11014",1994,10809,23011,NA
"11015_1994","11015",1994,18299,26002,NA
"11016_1994","11016",1994,NA,4004,NA
"11017_1994","11017",1994,59282,79228,NA
"11018_1994","11018",1994,5541,6491,NA
"11019_1994","11019",1994,NA,11345,NA
"11020_1994","11020",1994,163442,184296,NA
"11021_1994","11021",1994,10278,10503,NA
"11022_1994","11022",1994,NA,4304,NA
"11023_1994","11023",1994,7610,30137,NA
"11024_1994","11024",1994,NA,2379,NA
"11025_1994","11025",1994,9116,6635,NA
"11026_1994","11026",1994,3837,9741,NA
"11027_1994","11027",1994,25621,44740,NA
"11028_1994","11028",1994,7554,21275,NA
"11029_1994","11029",1994,1925,6926,NA
"11030_1994","11030",1994,5310,19075,NA
"11031_1994","11031",1994,11247,18232,NA
"11032_1994","11032",1994,3349,9337,NA
"11033_1994","11033",1994,7412,17171,NA
"11034_1994","11034",1994,NA,865,NA
"11035_1994","11035",1994,7005,12246,NA
"11036_1994","11036",1994,NA,2069,NA
"11037_1994","11037",1994,10648,25204,NA
