"Clave","mayor6_leer_esc","may5_asistencia","year","muniYear"
"10036",19808,NA,1995,"10036_1995"
"10037",7116,NA,1995,"10037_1995"
"10038",17219,NA,1995,"10038_1995"
"10039",23406,NA,1995,"10039_1995"
"11001",63647,NA,1995,"11001_1995"
"11002",97799,NA,1995,"11002_1995"
"11003",98593,NA,1995,"11003_1995"
"11004",45789,NA,1995,"11004_1995"
"11005",53088,NA,1995,"11005_1995"
"11006",4399,NA,1995,"11006_1995"
"11007",302724,NA,1995,"11007_1995"
"11008",31973,NA,1995,"11008_1995"
"11009",51469,NA,1995,"11009_1995"
"11010",8138,NA,1995,"11010_1995"
"11011",68773,NA,1995,"11011_1995"
"11012",20700,NA,1995,"11012_1995"
"11013",15169,NA,1995,"11013_1995"
"11014",97687,NA,1995,"11014_1995"
"11015",108585,NA,1995,"11015_1995"
"11016",16565,NA,1995,"11016_1995"
"11017",349912,NA,1995,"11017_1995"
"11018",26834,NA,1995,"11018_1995"
"11019",44267,NA,1995,"11019_1995"
"11020",877848,NA,1995,"11020_1995"
"11021",41373,NA,1995,"11021_1995"
"11022",16613,NA,1995,"11022_1995"
"11023",119811,NA,1995,"11023_1995"
"11024",9156,NA,1995,"11024_1995"
"11025",29025,NA,1995,"11025_1995"
"11026",42575,NA,1995,"11026_1995"
"11027",190542,NA,1995,"11027_1995"
"11028",85199,NA,1995,"11028_1995"
"11029",26111,NA,1995,"11029_1995"
"11030",77628,NA,1995,"11030_1995"
"11031",81507,NA,1995,"11031_1995"
"11032",41557,NA,1995,"11032_1995"
"11033",73420,NA,1995,"11033_1995"
"11034",3554,NA,1995,"11034_1995"
"11035",52291,NA,1995,"11035_1995"
"11036",7024,NA,1995,"11036_1995"
"11037",109654,NA,1995,"11037_1995"
"11038",10327,NA,1995,"11038_1995"
"11039",31975,NA,1995,"11039_1995"
"11040",10968,NA,1995,"11040_1995"
"11041",42998,NA,1995,"11041_1995"
"11042",112672,NA,1995,"11042_1995"
"11043",14660,NA,1995,"11043_1995"
"11044",35946,NA,1995,"11044_1995"
"11045",9103,NA,1995,"11045_1995"
"11046",64541,NA,1995,"11046_1995"
"12001",591040,NA,1995,"12001_1995"
"12002",17330,NA,1995,"12002_1995"
"12003",31173,NA,1995,"12003_1995"
"12004",11977,NA,1995,"12004_1995"
"12005",4428,NA,1995,"12005_1995"
"12006",11345,NA,1995,"12006_1995"
"12007",27560,NA,1995,"12007_1995"
"12008",7088,NA,1995,"12008_1995"
"12009",5916,NA,1995,"12009_1995"
"12010",14931,NA,1995,"12010_1995"
"12011",52403,NA,1995,"12011_1995"
